,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
0,fuvahmulah,,,,,,,,
1,zhangjiakou,CN,2024-04-25 22:17:54,40.81,114.8794,100,27,72.89600000000004,0.88
2,muzayri',,,,,,,,
3,clorinda,AR,2024-04-25 22:17:54,-25.2848,-57.7185,42,86,81.03200000000001,2.67
4,papatowai,NZ,2024-04-25 22:09:29,-46.5619,169.4708,80,79,46.417999999999985,7.06
5,adamstown,PN,2024-04-25 22:17:54,-25.066,-130.1015,48,89,74.11999999999996,8.51
6,yellowknife,CA,2024-04-25 22:17:54,62.456,-114.3525,75,84,24.691999999999997,11.83
7,grytviken,GS,2024-04-25 22:17:55,-54.2811,-36.5092,20,83,35.20399999999995,1.85
8,weno,FM,2024-04-25 22:08:11,7.4515,151.8468,81,80,84.326,8.03
9,colby,US,2024-04-25 22:16:55,39.3958,-101.0524,100,92,57.524000000000015,12.86
10,alice springs,AU,2024-04-25 22:09:40,-23.7,133.8833,85,32,64.21999999999997,4.63
11,klaksvik,FO,2024-04-25 22:17:55,62.2266,-6.589,100,82,40.38800000000005,11.22
12,port-aux-francais,TF,2024-04-25 22:17:55,-49.35,70.2167,100,82,42.04399999999997,6.96
13,tranovaho,,,,,,,,
14,ushuaia,AR,2024-04-25 22:16:36,-54.8,-68.3,100,97,38.11999999999996,0.54
15,novodvinsk,RU,2024-04-25 22:17:56,64.4165,40.8122,100,96,37.417999999999985,2.97
16,kabare,CD,2024-04-25 22:17:56,-2.4683,28.8242,99,95,63.5,0.87
17,invercargill,NZ,2024-04-25 22:17:56,-46.4,168.35,100,78,48.29000000000002,4.02
18,waitangi,NZ,2024-04-25 22:17:56,-43.9535,-176.5597,100,89,63.08599999999997,5.36
19,zemio,CF,2024-04-25 22:17:56,5.0314,25.1361,99,89,71.49199999999999,1.4
20,saint-philippe,RE,2024-04-25 22:17:57,-21.3585,55.7679,40,82,75.05600000000004,4.78
21,punta arenas,CL,2024-04-25 22:17:17,-53.15,-70.9167,0,86,32.377999999999965,3.09
22,margaret river,AU,2024-04-25 22:17:57,-33.95,115.0667,2,48,68.792,2.99
23,ambon,ID,2024-04-25 22:17:57,-3.6954,128.1814,40,70,90.01400000000004,2.06
24,annau,TM,2024-04-25 22:17:57,37.8876,58.516,55,39,71.33000000000004,0.94
25,thompson,CA,2024-04-25 22:17:57,55.7435,-97.8558,75,57,48.63200000000002,1.03
26,parkes,AU,2024-04-25 22:17:58,-33.1333,148.1833,0,32,72.62599999999999,3.28
27,bardai,NG,2024-04-25 22:17:58,11.65,7.2333,2,53,79.484,4.44
28,odesskoye,RU,2024-04-25 22:17:58,54.2111,72.9651,98,43,44.6,2.78
29,ust-nera,RU,2024-04-25 22:17:58,64.5667,143.2,100,93,34.73599999999997,1.73
30,edinburgh of the seven seas,SH,2024-04-25 22:17:58,-37.0676,-12.3116,100,88,65.858,16.76
31,broken hill,AU,2024-04-25 22:17:58,-31.95,141.4333,0,42,61.627999999999965,5.39
32,murghob,TJ,2024-04-25 22:17:58,38.1702,73.9667,95,54,29.714000000000034,2.85
33,sedrata,DZ,2024-04-25 22:17:59,36.1287,7.5338,97,50,51.943999999999974,3.55
34,bethel,US,2024-04-25 22:15:09,41.3712,-73.414,0,71,43.43000000000004,0.89
35,sennoy,RU,2024-04-25 22:13:03,52.1509,46.9631,99,65,58.11799999999998,1.87
36,whitehorse,CA,2024-04-25 22:17:59,60.7161,-135.0538,75,24,56.443999999999974,3.6
